Download Link:,Object Number:,Artist:,Title:,Medium:
https://nationalgalleryimages.ie/asset/?external_id=NGI.2018.55&download=true,NGI.2018.55,"Artist: Julia Margaret Cameron, 1815-1879",After the Manner of Perugino (Mary Ryan),Albumen print
https://nationalgalleryimages.ie/asset/?external_id=NGI.2017.46&download=true,NGI.2017.46,"Artist: Dermod O'Brien, 1865-1945","Gerald (Jeremiah) O'Donovan (1871-1942), Novelist, Political Essayist and Irish Revivalist",Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.2017.27&download=true,NGI.2017.27,"Artist: William Orpen, 1878-1931","Sketches of a Female Nude, a Male Model and a Sculptor",Graphite on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2017.14&download=true,NGI.2017.14,"Artist: Guercino, 1591-1666",Study of the Infant Christ Child Held by Saint Simeon,Chalk on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2017.31&download=true,NGI.2017.31,"Artist: Aloysius O'Kelly, 1853-1936",A Young Girl Reading,Oil on panel
https://nationalgalleryimages.ie/asset/?external_id=NGI.2017.30&download=true,NGI.2017.30,"Artist: Aloysius O'Kelly, 1853-1936",North African Man,Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.2017.29&download=true,NGI.2017.29,"Artist: Aloysius O'Kelly, 1853-1936",In the Conservatory,Watercolour and gouache on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.2017.4&download=true,NGI.2017.4,"Attributed to: James Forrester, 1729-1775",Night Scene with Poachers,Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.1313.2&download=true,NGI.1313.2,"Artist: Juan Gris, 1887-1927","Carafe, Cups and Glasses",Collage and oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.894&download=true,NGI.894,"Artist: J.P. van Wyck, fl. 1650-1658",Portrait of a Lady,Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.8195&download=true,NGI.8195,"Artist: Thomas Farrell, 1827-1900","Cast of the Death Mask of Alexander Martin Sullivan (1830-1884), Nationalist Politician and Journalist",Plaster
https://nationalgalleryimages.ie/asset/?external_id=NGI.8155&download=true,NGI.8155,"Artist: Unknown Artist, Ireland, 19th century","Cast of the Death Mask of Charles Joseph Kickham (1828-1882), Fenian and Writer",Plaster
https://nationalgalleryimages.ie/asset/?external_id=NGI.8133&download=true,NGI.8133,"Artist: Thomas Farrell, 1827-1900","Cast of Death Mask of John Mitchel (1815-1875), Agitator and Author of 'Jail Journey'",Plaster
https://nationalgalleryimages.ie/asset/?external_id=NGI.8122&download=true,NGI.8122,"Artist: Massimiliano Soldani, 1656-1740",Executioner with the Head of Saint John the Baptist,Bronze
https://nationalgalleryimages.ie/asset/?external_id=NGI.8115&download=true,NGI.8115,"Artist: Unknown Artist, Italy, 18th century",Mars,Bronze
https://nationalgalleryimages.ie/asset/?external_id=NGI.7923&download=true,NGI.7923,"Artist: James George Oben, fl.1779-1816",Mountainous Landscape,Watercolour on paper
https://nationalgalleryimages.ie/asset/?external_id=NGI.790&download=true,NGI.790,"Artist: Joshua Reynolds, 1723-1792","Portrait of Mrs William Fortescue (1733/34-1820), later Countess of Clermont",Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.622&download=true,NGI.622,"Artist: Harry Harris Browne, 1864-1948","Portrait of William Alexander (1824-1911), Protestant Archbishop of Armagh",Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.619&download=true,NGI.619,"Attributed to: Pieter Huys, c.1519-c.1581",An Allegorical Portrait,Oil on oak panel
https://nationalgalleryimages.ie/asset/?external_id=NGI.552&download=true,NGI.552,"Artist: The Master of the Female Half-Lenghts, fl. first half 16th century",The Temptation of Saint Anthony,Oil on oak panel
https://nationalgalleryimages.ie/asset/?external_id=NGI.523&download=true,NGI.523,"Artist: Henry Raeburn, 1756-1823","Portrait of David Steuart Erskine, 11th Earl of Buchan (1742-1829), Antiquary",Oil on canvas
https://nationalgalleryimages.ie/asset/?external_id=NGI.4367&download=true,NGI.4367,"Artist: Henry Brooke, 1738-1806",The Continence of Scipio,Oil on canvas
